city,tmpd,dptp,date,pm25tmean2,pm10tmean2,o3tmean2,no2tmean2
chic,46,16.625,4/30/1987,,19,35.48958333,18.32057179
chic,53.5,39,5/1/1987,,66,19.5615942,45.94444444
chic,53,47.375,5/2/1987,,30,24.18452381,31.50833333
chic,45,35,5/3/1987,,20.28571429,27.20238095,22.11666667
chic,48,29.375,5/4/1987,,26,31.22435897,23.02617521
chic,50.5,32.625,5/5/1987,,60,23.4375,39.60921717
chic,58,40.125,5/6/1987,,,32.37057395,51.28535354
chic,59.5,40.875,5/7/1987,,41,30.18931159,29.51828063
chic,59,33.375,5/8/1987,,54,16.80482456,38.77412281
chic,69.5,43.75,5/9/1987,,56.16666667,42.796875,22.15277778
chic,74.5,51.5,5/10/1987,,,43.0125,20.17361111
chic,71,58,5/11/1987,,81,44.98627451,24.22222222
chic,51.5,32.75,5/12/1987,,12,25.33854167,18.01767677
chic,59,53,5/13/1987,,20,26.55910326,35.52335859
chic,69,53.375,5/14/1987,,,38.84895833,29.54513889
chic,56.5,33.875,5/15/1987,,21.57142857,24.02083333,19.02335859
chic,62.5,42.625,5/16/1987,,47,31.67553593,28.1772343
chic,70.5,63.625,5/17/1987,,63,50.44814312,22.87952899
chic,66.5,57.625,5/18/1987,,,24.83367301,27.20138889
chic,67.5,61.125,5/19/1987,,42,26.07217262,28.0517716
chic,66.5,59.75,5/20/1987,,47,15.27472826,21.79198232
chic,74,66.75,5/21/1987,,46.16666667,33.25181159,26.69791667
chic,61.5,49.75,5/22/1987,,,12.32065217,12.74214976
chic,51,45.625,5/23/1987,,13,10.578125,11.71401515
chic,50.5,45.125,5/24/1987,,,18.984375,11.67361111
chic,57.5,62.875,5/25/1987,,50,13.00892857,19.25694444
chic,73,67.625,5/26/1987,,28,29.87121212,26.81944444
chic,78.5,67.375,5/27/1987,,40.6,30.546875,25.15810277
chic,78.5,65.75,5/28/1987,,49,28.91222826,32.13043478
chic,78.5,67.125,5/29/1987,,50,26.13020833,36.05616883
chic,76,65.625,5/30/1987,,35,21.859375,33.56666667
chic,76,60.125,5/31/1987,,32,31.44345238,22.20833333
chic,74.5,68.5,6/1/1987,,30,34.1875,28.34166667
chic,72,64.75,6/2/1987,,33.66666667,18.33854167,37.35
chic,69,47.25,6/3/1987,,42,23.31336051,21.74305556
chic,63,45,6/4/1987,,45,20.42722744,25.61111111
chic,70,54.875,6/5/1987,,61,33.19270833,35.62752525
chic,71,54.625,6/6/1987,,57,43.74479167,34.16792929
chic,77.5,58.125,6/7/1987,,46,50.79166667,15.73958333
chic,74.5,60.25,6/8/1987,,51.5,49.21218297,23.10763889
chic,57.5,41.125,6/9/1987,,15,29.61118659,15.29930556
chic,61,51,6/10/1987,,50,28.7330163,29.29861111
chic,72.5,68.75,6/11/1987,,46,27.74611742,32.45517677
chic,80,62,6/12/1987,,41,29.2907691,24.24589647
chic,77,62,6/13/1987,,73,39.65104167,35.425
chic,83,68.5,6/14/1987,,43.66666667,45.421875,25.99583333
chic,73.5,48.5,6/15/1987,,28,33.75407609,22.20591787
chic,75,52.875,6/16/1987,,46,33.20138889,30.63263889
chic,77,61,6/17/1987,,71,54.96189182,47.92542271
chic,80.5,62.75,6/18/1987,,90,62.9696558,43.81666667
chic,77.5,61.375,6/19/1987,,80,47.26891447,51.175
chic,77,73.625,6/20/1987,,59.83333333,45.69791667,32.875
chic,76,71.125,6/21/1987,,42,32.77827381,20.38194444
chic,67,59,6/22/1987,,52,25.05393489,25.23243464
chic,72.5,57.75,6/23/1987,,49,32.21845238,39.97916667
chic,76,65.75,6/24/1987,,63,49.08020833,42.87122153
chic,70.5,62,6/25/1987,,53,33.87865803,29.28490592
chic,69,50.75,6/26/1987,,31.8,20.46875,20.69791667
chic,64.5,48.25,6/27/1987,,36,21.61979167,15.80208333
chic,72,53.625,6/28/1987,,34,31.96376812,15.93532609
chic,72.5,66,6/29/1987,,43,27.78125,24.575
chic,70.5,63,6/30/1987,,43,18.46875,28.15277778
chic,68.5,60.625,7/1/1987,,22,32.296875,20.01857864
chic,71,60.25,7/2/1987,,45.5,36.26704546,27.24611244
chic,77.5,60.375,7/3/1987,,48,42.91666667,18.78472222
chic,72.5,59.5,7/4/1987,,24,31.89583333,13.87152778
chic,72.5,69.125,7/5/1987,,,22.63020833,16.26041667
chic,80,69,7/6/1987,,33,31.11184211,22.66022063
chic,80,69.125,7/7/1987,,,34.34261775,23.08333333
chic,80.5,69.25,7/8/1987,,38,30.85167573,23.01479469
chic,80.5,67.625,7/9/1987,,31,24.94791667,20.15782828
chic,80,67.625,7/10/1987,,33,23.38020833,21.625
chic,80,73.5,7/11/1987,,79,29.125,16.54861111
chic,79.5,65.5,7/12/1987,,47,29.640625,13.01736111
chic,64.5,58.75,7/13/1987,,33,9.691220238,18.66666667
chic,67,53,7/14/1987,,21.4,21.86383929,20.5625
chic,63,54.375,7/15/1987,,17,23.18229167,20.87910354
chic,65.5,58.625,7/16/1987,,28,31.52083333,19.96142226
chic,78,67,7/17/1987,,39,42.87276786,25.00099206
chic,79.5,68.375,7/18/1987,,51,47.79166667,19.19097222
chic,84.5,73.625,7/19/1987,,72,47.05208333,13.37152778
chic,81.5,67.625,7/20/1987,,65.42857143,40.49895833,18.45833333
chic,81,71.25,7/21/1987,,58,58.16791214,36.6280107
chic,80.5,69.625,7/22/1987,,98,45.2827381,36.35416667
chic,82,70,7/23/1987,,117,59.15625,25.98106061
chic,83,71.25,7/24/1987,,79,35.69021739,23.21322464
chic,84.5,71.125,7/25/1987,,53,43.81547619,22.65416667
chic,78.5,66.25,7/26/1987,,29.5,27.77380952,20.00416667
chic,71,62.625,7/27/1987,,32,15.77380952,30.75416667
chic,72.5,63.25,7/28/1987,,37,20.26785714,29.61590909
chic,78,70.25,7/29/1987,,25,25.02901161,33.51071429
chic,79.5,72.375,7/30/1987,,75,50.36904762,27.39166667
chic,80.5,75.75,7/31/1987,,48,38.41718427,28.42949879
chic,87,75.25,8/1/1987,,57.57142857,40.23214286,21.69444444
chic,86,73.875,8/2/1987,,46,46.65476191,15.48611111
chic,83,68.625,8/3/1987,,54,30.9745671,29.80555556
chic,75,60.625,8/4/1987,,21,20.54927885,14.28819444
chic,72,55.75,8/5/1987,,15,20.29166667,12.78472222
chic,72,62.125,8/6/1987,,50,29.57664462,32.69920635
chic,79.5,67.375,8/7/1987,,51.28571429,45.32291667,27.65277778
chic,73.5,73.625,8/8/1987,,56,23.03125,24.60069444
chic,72.5,64.125,8/9/1987,,29,26.75520833,10.30555556
chic,71,63.125,8/10/1987,,24,29.41071429,20.02380952
chic,74.5,61.875,8/11/1987,,41,33.84375,25.66666667
chic,76,63.625,8/12/1987,,80,37.08854167,33.64583333
chic,75.5,69.5,8/13/1987,,63.4,36.19791667,36.48218599
chic,74,74.625,8/14/1987,,49.5,24.23284314,18.59573413
chic,79.5,75.875,8/15/1987,,41,33.375,13.15926932
chic,80,73.875,8/16/1987,,44.5,32.27295918,9.338293651
chic,73.5,60.25,8/17/1987,,39,26.67633929,14.92708333
chic,69.5,64.25,8/18/1987,,48,14.05877976,31.39371981
chic,70,56.75,8/19/1987,,31.66666667,18.38888889,23.34564394
chic,70,62.625,8/20/1987,,49,30.51875,26.72916667
chic,76,72.5,8/21/1987,,43,37.94270833,20.90593434
chic,71.5,54.625,8/22/1987,,32,23.86458333,12.90972222
chic,63,49,8/23/1987,,24,17.72780797,14.42777778
chic,61.5,51.375,8/24/1987,,43,12.59498355,21.58541667
chic,59,58,8/25/1987,,36,6.665625,30.63194444
chic,62,63.25,8/26/1987,,50,8.207521645,22.98333333
chic,63.5,61.375,8/27/1987,,20,13.71875,19.69002525
chic,63.5,54.625,8/28/1987,,32,21.94270833,22.04583333
chic,65.5,57,8/29/1987,,,18.15625,26.39930556
chic,72,59.625,8/30/1987,,35,22.62273551,16.85940931
chic,62,46.5,8/31/1987,,25,15.921875,18.11829279
chic,64,49.5,9/1/1987,,38.5,17.93229167,22.52083333
chic,61.5,50.125,9/2/1987,,17,21.16145833,15.74652778
chic,60.5,49.25,9/3/1987,,24,20.30208333,22.48106453
chic,69,59.125,9/4/1987,,,31.33854167,37.31723485
chic,73,57.375,9/5/1987,,,46.05729167,36.46527778
chic,75,66.25,9/6/1987,,60.66666667,38.19791667,32.51041667
chic,70.5,65.625,9/7/1987,,,22.78691123,21.3125
chic,72,63.5,9/8/1987,,,25.40104167,31.86805556
chic,68.5,56.125,9/9/1987,,,18.83333333,22.88541667
chic,67.5,57.75,9/10/1987,,,26.50520833,27.68689614
chic,69,57,9/11/1987,,,22.44021739,31.0307971
chic,68,50.375,9/12/1987,,33.5,15.8125,23.50347222
chic,59,53.25,9/13/1987,,,12.359375,21.16666667
chic,61.5,58,9/14/1987,,,18.89583333,27.96180556
chic,72,66,9/15/1987,,,15.43478261,28.3861715
chic,69,66.875,9/16/1987,,33,10.20471015,25.61805556
chic,67.5,64.25,9/17/1987,,30,13.52380952,18.87626263
chic,63.5,60.375,9/18/1987,,25.25,6.892857143,17.64488636
chic,61,50.25,9/19/1987,,,12.64285714,16.39583333
chic,57,50.875,9/20/1987,,,7.404761905,11.82083333
chic,55.5,54.75,9/21/1987,,29,4.952380952,16.64166667
chic,61,52.5,9/22/1987,,,7.263975155,15.90681269
chic,63,51,9/23/1987,,38,13.13690476,20.42708333
chic,59.5,46.25,9/24/1987,,23,16.13095238,16.26736111
chic,56.5,43,9/25/1987,,55,14.01785714,30.21014493
chic,65,53.375,9/26/1987,,42,22.49404762,35.89583333
chic,75.5,54,9/27/1987,,49,27.54761905,30.09166667
chic,69,61.125,9/28/1987,,57,30.01785714,33.75833333
chic,61.5,52.375,9/29/1987,,34,12.73214286,16.11845238
chic,55,35.625,9/30/1987,,26.8,10.90972222,18.55833333
chic,55.5,46.375,10/1/1987,,44,17.30357143,20.9625
chic,47,32.25,10/2/1987,,52,15.02820911,9.966847826
chic,42.5,29.875,10/3/1987,,52,15.39285714,19.54583333
chic,52,30.75,10/4/1987,,50,19.14880952,19.56666667
chic,60,41.25,10/5/1987,,48,14.81309524,18.31333333
chic,45.5,38,10/6/1987,,24.16666667,6.972943723,9.258333333
chic,39.5,26.875,10/7/1987,,36,13.31547619,13.86358696
chic,41.5,26.875,10/8/1987,,41,10.51811594,27.59583333
chic,53.5,31.25,10/9/1987,,38,11.5636646,19.60902778
chic,42.5,32.625,10/10/1987,,28,8.738095238,21.15277778
chic,39,25.5,10/11/1987,,32,14.63333333,23.29861111
chic,42.5,30.375,10/12/1987,,41.5,12.41468254,39.04861111
chic,49.5,33.375,10/13/1987,,,15.11560929,40.27065217
chic,55.5,38.125,10/14/1987,,41,10.79859335,40.23067633
chic,63,36,10/15/1987,,52,24.44759317,43.20833333
chic,62.5,55.125,10/16/1987,,58,28.56547619,35.80357143
chic,48,42.125,10/17/1987,,19,9.220238095,11.26388889
chic,53.5,43.75,10/18/1987,,26.85714286,15.9702381,23.08680556
chic,49.5,40.25,10/19/1987,,11,18.86904762,22.22569444
chic,45.5,32.375,10/20/1987,,24,15.28109903,17.85565476
chic,37,33.25,10/21/1987,,20.5,6.467948718,14.98263889
chic,43,34.25,10/22/1987,,25,6.753246753,23.25422705
chic,39,31.125,10/23/1987,,50,8.314880952,25.23863636
chic,38.5,33.5,10/24/1987,,28.4,7.535714286,23.8125
chic,42,31.125,10/25/1987,,,11.125,23.89236111
chic,44.5,45.375,10/26/1987,,33,5.071428571,27.04166667
chic,44.5,34.5,10/27/1987,,31,10.17572464,19.58806818
chic,38.5,28.875,10/28/1987,,31,5.071336429,24.83205409
chic,44.5,37.75,10/29/1987,,48,7.256944444,33.36020531
chic,54.5,42.875,10/30/1987,,50.66666667,16.93452381,31.46180556
chic,52,49.375,10/31/1987,,60,12.57142857,22.51041667
chic,58,58.5,11/1/1987,,30,9.744565217,30.34027778
chic,64,56.625,11/2/1987,,46,11.5508658,35.23611111
chic,66,49.875,11/3/1987,,,29.45833333,32.50378788
chic,56.5,38.25,11/4/1987,,47,19.16666667,19.04160401
chic,40.5,19.875,11/5/1987,,25.5,20.16666667,19.13143939
chic,39.5,25.75,11/6/1987,,43,9.5,27.25416667
chic,45.5,29.5,11/7/1987,,46,2.75,31.6875
chic,49.5,41.75,11/8/1987,,66,23.29166667,25.41666667
chic,35,18.5,11/9/1987,,18,25.66666667,24.61979167
chic,34,24.875,11/10/1987,,12,27.75,25.35416667
chic,35,23.75,11/11/1987,,31.28571429,7.958333333,27.56944444
chic,43.5,31.125,11/12/1987,,47,7,31.23867754
chic,48.5,31.375,11/13/1987,,55,2.875,29.82518116
chic,47,31.125,11/14/1987,,18,9.875,28.66666667
chic,50.5,32,11/15/1987,,51,19.25,36.91666667
chic,56,56,11/16/1987,,34,17.66666667,30.38541667
chic,50,35.375,11/17/1987,,18.33333333,12.70833333,10.67798913
chic,38,29.25,11/18/1987,,,10.34782609,15.73336039
chic,37.5,26,11/19/1987,,29,10.83333333,20.04464286
chic,27.5,10.375,11/20/1987,,34,25.04166667,13.95189394
chic,25.5,11.5,11/21/1987,,27,11.29166667,23.74166667
chic,42,28.75,11/22/1987,,,11.33333333,18.96666667
chic,43.5,31.75,11/23/1987,,30.33333333,8.772727273,12.65416667
chic,39.5,39.375,11/24/1987,,52,8.833333333,14.59649123
chic,40,36.875,11/25/1987,,10,13.125,14.98856108
chic,40,35.875,11/26/1987,,15,23.58333333,7.866666667
chic,40.5,39.5,11/27/1987,,,11,13.04166667
chic,47,45.5,11/28/1987,,,4.458333333,17.49166667
chic,39,34.625,11/29/1987,,12.14285714,2.125,11.64583333
chic,37,35.5,11/30/1987,,,4.166666667,13.62083333
chic,32,24.125,12/1/1987,,28,13.47826087,16.89166667
chic,30,26.375,12/2/1987,,23,9.25,15.24166667
chic,30.5,26.25,12/3/1987,,30,6.625,19.43333333
chic,27,19.625,12/4/1987,,35,12.54166667,21.45757576
chic,27,24.625,12/5/1987,,24.66666667,13.875,24.675
chic,31.5,29,12/6/1987,,22,15.29166667,21.96666667
chic,38.5,36.25,12/7/1987,,25,6.416666667,21.76666667
chic,46.5,49.5,12/8/1987,,28,2.958333333,22.64963768
chic,49.5,34.375,12/9/1987,,21,9.041666667,12.475
chic,38,31.125,12/10/1987,,32,7.25,17.91793478
chic,41,33.625,12/11/1987,,23,2.583333333,23.375
chic,35,23.75,12/12/1987,,29,11.04166667,9.204166667
chic,31.5,23.5,12/13/1987,,34,13.16666667,13.29583333
chic,30,27.5,12/14/1987,,43,13,24.99166667
chic,31,24.25,12/15/1987,,19,9.052631579,11.12412281
chic,27.5,16.625,12/16/1987,,36,12.08333333,11.2625
chic,20.5,11.75,12/17/1987,,27.2,8.086956522,23.48333333
chic,23,25.75,12/18/1987,,36,2.870471015,22.74166667
chic,34,35,12/19/1987,,21.5,2.395833333,21.94583333
chic,34,21.25,12/20/1987,,25,9.8125,15.675
chic,33,26.125,12/21/1987,,,6.875,21.95380435
chic,35,29.125,12/22/1987,,,2.739130435,29.45652174
chic,35.5,31.25,12/23/1987,,36,3.5,24.96666667
chic,41,39.75,12/24/1987,,,2.395833333,21.675
chic,33,25.5,12/25/1987,,16,15.14583333,11.13333333
chic,27.5,23.75,12/26/1987,,,18.625,17.39166667
chic,29,28.375,12/27/1987,,45,10.04166667,26.69166667
chic,33.5,30.75,12/28/1987,,,18.22916667,15.64166667
chic,24.5,20.25,12/29/1987,,20.66666667,19.41666667,23.80492424
chic,25.5,27.625,12/30/1987,,,4.345833333,31.69065657
chic,23.5,7.25,12/31/1987,,21,16.08333333,16.77083333
chic,3.5,-3.625,1/1/1988,,,19.95833333,14.13888889
chic,15,15.375,1/2/1988,,,7.8125,25.73611111
chic,24.5,16.75,1/3/1988,,25,8.645833333,21.72222222
chic,5,-15.875,1/4/1988,,26,18.21130952,12.66571429
chic,-6.5,-15.75,1/5/1988,,24,13.16666667,17.22083333
chic,-5.5,-15.125,1/6/1988,,75,7.145833333,27.66594203
chic,3,-1.875,1/7/1988,,74,2.520833333,52.1
chic,8.5,2.75,1/8/1988,,87,4.65942029,42.88504141
chic,0.5,-12.25,1/9/1988,,48,7.395833333,26.45
chic,1.5,-1.625,1/10/1988,,36.33333333,6.916666667,31.175
chic,24,22.25,1/11/1988,,39,6.479166667,25.88333333
chic,28.5,15.5,1/12/1988,,43,16.9375,16.52862319
chic,12,-0.375,1/13/1988,,51,13.85416667,21.42348485
chic,11,9.375,1/14/1988,,46,3.458333333,32.825
chic,28,22.75,1/15/1988,,28,4.229166667,24.6
chic,39,29.25,1/16/1988,,32,14.14583333,19.22916667
chic,37,32.25,1/17/1988,,26,6.354166667,24.82083333
chic,33.5,32.375,1/18/1988,,,8.717105263,28.92380952
chic,35.5,34.625,1/19/1988,,39,13.125,23.51818182
chic,34,27.375,1/20/1988,,23.5,6.506944444,21.03804348
chic,28.5,21.125,1/21/1988,,20,16.22916667,21.35833333
chic,27,23.625,1/22/1988,,27.16666667,6.625,19.92811355
chic,21,25.75,1/23/1988,,23,7,17.49583333
chic,24.5,17,1/24/1988,,26,7.5,16.0375
chic,14.5,-2.75,1/25/1988,,34,6.708333333,18.76666667
chic,9,-0.5,1/26/1988,,45,6.875,27.12472944
chic,7,11.25,1/27/1988,,51,7.304347826,33.98378788
chic,21.5,19.25,1/28/1988,,46,9.333333333,31.37753623
chic,35.5,40.5,1/29/1988,,37,13.45833333,33.37484849
chic,50.5,47.5,1/30/1988,,23,26.54166667,15.46666667
chic,46,31.875,1/31/1988,,42,19.125,13.84583333
chic,28,21.375,2/1/1988,,13,24.125,16.51590909
chic,22.5,17.75,2/2/1988,,23,29.08333333,16.725
chic,24,20.125,2/3/1988,,36,13.29166667,28.46666667
chic,16.5,6.625,2/4/1988,,52,13.625,25.32753623
chic,4,-10.75,2/5/1988,,37,18.20833333,16.56666667
chic,3,-3.125,2/6/1988,,39,19.83333333,13.85416667
chic,16.5,8.375,2/7/1988,,32,20.375,15.73333333
chic,14.5,16.25,2/8/1988,,43,12.41666667,29.95476191
chic,17.5,7.125,2/9/1988,,38.8,12.66666667,31.24166667
chic,16,17.625,2/10/1988,,36,24.875,29.18333333
chic,16,9,2/11/1988,,28,28.04166667,17.0625
chic,9,0.25,2/12/1988,,44,20.375,26.8
chic,7,3.5,2/13/1988,,42,13.08333333,37.96666667
chic,27.5,38.625,2/14/1988,,,9.833333333,30.76666667
chic,26,11.875,2/15/1988,,29,20.66666667,20.625
chic,26.5,27.125,2/16/1988,,34,6.416666667,29.4875
chic,31,23.125,2/17/1988,,60,9.958333333,39.70936853
chic,31.5,27,2/18/1988,,62,9.25,44.31060606
chic,32,29.375,2/19/1988,,77,8.666666667,49.01893939
chic,21.5,-2.625,2/20/1988,,37,24.29166667,14.34895833
chic,16.5,20.125,2/21/1988,,23.33333333,17.83333333,21.48958333
chic,40,29,2/22/1988,,23,17.35416667,16.796875
chic,27,13,2/23/1988,,44,23,13.64583333
chic,22,7.875,2/24/1988,,65,22.25,24.92234849
chic,20.5,9.75,2/25/1988,,,15,25.98611111
chic,39.5,29.625,2/26/1988,,54,15.08333333,28.625
chic,32,22.75,2/27/1988,,25.66666667,37.375,17.98611111
chic,34.5,31.625,2/28/1988,,54,19.29166667,28.23611111
chic,39.5,26.375,2/29/1988,,29,17,27.78020833
chic,41,29.375,3/1/1988,,30,25.70833333,22.61156798
chic,35.5,24.375,3/2/1988,,33,28.20833333,18.71875
chic,27,17,3/3/1988,,17,37.375,13.80681818
chic,28.5,16.25,3/4/1988,,24.2,34.29166667,20.51388889
chic,31,19.25,3/5/1988,,40,11.83333333,44.02777778
chic,36,32.5,3/6/1988,,,18.375,29.20833333
chic,42,40,3/7/1988,,58,11.29166667,29.625
chic,48.5,42.75,3/8/1988,,,15.95652174,27.22222222
chic,34,27.625,3/9/1988,,,18.54166667,21.890625
chic,38,21.375,3/10/1988,,44,22.04166667,35.45833333
chic,46.5,35.125,3/11/1988,,36,10.58333333,32.83690476
chic,43,28.25,3/12/1988,,23,22.54166667,12.14583333
chic,26.5,17.625,3/13/1988,,,27.125,7.733333333
chic,24,17.5,3/14/1988,,27,26.125,15.42333333
chic,23.5,19.5,3/15/1988,,37,21.70833333,19.5155303
